id	name	code	prcent_total_youth	utilisation_internet
4	Afghanistan	AFG	4.9	5.9
8	Albania	ALB	34.1	60.1
12	Algeria	DZA	21.6	16.5
24	Angola	AGO	7.9	19.1
10	Antarctica		0	
32	Argentina	ARG	52.5	59.9
51	Armenia	ARM	14.4	46.3
36	Australia	AUS	83.1	83
40	Austria	AUT	87.7	80.6188
31	Azerbaijan	AZE	30.9	58.7
44	Bahamas	BHS	53.3	72
50	Bangladesh	BGD	4.7	6.5
112	Belarus	BLR	41.8	54.17
56	Belgium	BEL	91.3	82.1702
84	Belize	BLZ	24.4	31.7
204	Benin	BEN	4.6	4.9
64	Bhutan	BTN	13.7	29.9
68	Bolivia, Plurinational State of	BOL	24.2	39.5
70	Bosnia and Herzegovina	BIH	55.7	67.9
72	Botswana	BWA	12.4	15
76	Brazil	BRA	60.2	51.6
96	Brunei Darussalam	BRN	73.7	64.5
100	Bulgaria	BGR	68.3	53.0615
854	Burkina Faso	BFA	2.1	4.4
108	Burundi	BDI	2	1.3
116	Cambodia	KHM	0.6	6
120	Cameroon	CMR	7.3	6.4
124	Canada	CAN	90.1	85.8
140	Central African Republic	CAF	1.2	3.5
148	Chad	TCD	2.4	2.3
152	Chile	CHL	67	66.5
156	China	CHN	34.7	45.8
170	Colombia	COL	45.6	51.7
178	Congo	COG	6.8	6.6
180	Congo, the Democratic Republic of the	COD	1.2	2.2
188	Costa Rica	CRI	54.7	45.96
384	Cote d'Ivoire	CIV	4.7	2.6
191	Croatia	HRV	80.7	66.7476
192	Cuba	CUB	26.7	25.70893209
196	Cyprus	CYP	62.7	65.4548
203	Czech Republic	CZE	82.1	74.1104
208	Denmark	DNK	96.9	94.6297
262	Djibouti	DJI	4.2	9.5
214	Dominican Republic	DOM	38.8	45.9
218	Ecuador	ECU	24.6	40.35368423
818	Egypt	EGY	34.9	49.56
222	El Salvador	SLV	14.4	23.1093
226	Equatorial Guinea	GNQ	3.9	16.4
232	Eritrea	ERI	1.3	0.9
233	Estonia	EST	96	80.0043
231	Ethiopia	ETH	1.2	1.9
238	Falkland Islands (Malvinas)			
242	Fiji	FJI	24.7	37.1
246	Finland	FIN	98.3	91.5144
250	France	FRA	90.7	81.9198
260	French Southern Territories			
266	Gabon	GAB	13.6	9.2
270	Gambia	GMB	14.4	14
268	Georgia	GEO	19.7	43.1
276	Germany	DEU	94.2	83.9614
288	Ghana	GHA	9.3	12.3
300	Greece	GRC	74.6	59.8663
304	Greenland	GRL		65.8
320	Guatemala	GTM	17.2	19.7
324	Guinea	GIN	2.2	1.6
624	Guinea-Bissau	GNB	5.6	3.1
328	Guyana	GUY	32.4	33
332	Haiti	HTI	17.3	10.6
340	Honduras	HND	21.6	17.8
348	Hungary	HUN	84.9	72.6439
352	Iceland	ISL	95.9	96.5468
356	India	IND	9.5	15.1
360	Indonesia	IDN	13.7	15.82
364	Iran, Islamic Republic of	IRN	21.6	31.4
368	Iraq	IRQ	2.5	9.2
372	Ireland	IRL	78.4	78.2477
376	Israel	ISR	80	70.8
380	Italy	ITA	67.8	58.4593
388	Jamaica	JAM	46.7	37.8
392	Japan	JPN	99.5	86.25
400	Jordan	JOR	40.4	44.2
398	Kazakhstan	KAZ	9.6	54
404	Kenya	KEN	18.5	39
408	Korea, Democratic People's Republic of	PRK		
